Number,Category,Action_needed,Question,Subcategory,Action,Time,Sentence
1,lights,1,0,kitchen,on,today,Illuminate the kitchen today.
2,lights,1,0,kitchen,on,tomorrow,Illuminate the kitchen tomorrow.
3,lights,1,0,kitchen,on,hour,Turn on the light in the kitchen in 10 hours.
4,lights,1,0,kitchen,on,day,Turn on the light in the kitchen in 1 day.
5,lights,1,0,diningroom,on,today,Illuminate the dining room today.
6,lights,0,0,diningroom,on,today,Don't illuminate the dining room today.
7,lights,1,0,diningroom,on,tomorrow,Illuminate the dining room tomorrow.
8,lights,1,0,diningroom,on,hour,Turn on the light in the dinin room in 10 hours.
9,lights,1,0,diningroom,on,day,Turn on the light in the dining room in 1 day.
10,lights,1,0,bathroom,on,now,Turn on the light in the bathroom.
11,lights,0,0,none,none,now,Don't turn on the light right now.
12,lights,0,0,none,none,now,I would get mad if you'd put on the light right now.
13,lights,1,0,none,on,now,I would not like it if you wouldn't turn on the light right now.
14,lights,1,1,livingroom,on,now,Is the light on in the living room.
15,lights,1,0,livingroom,on,hour,Would you illuminate the living room in one hour for me please.
16,lights,1,0,none,on,now,It would be great if you'd turn on the light for me.
17,lights,1,0,kitchen,on,now,Light on in kitchen.
18,lights,1,0,livingroom,off,hour,Light off in living room in a few hours.
19,lights,1,0,basement,off,now,Turn the light off in the basement.
20,lights,1,0,diningroom,off,now,Turn the light off in the dining room.
21,lights,1,0,none,on,now,I would like if you made it brighter.
22,lights,1,0,none,on,minute,I would like if you made it brighter in 3 minutes.
23,lights,1,1,none,on,minute,Can you make it brighter here in 8 minutes?
24,lights,1,1,none,off,now,Can you make it more dark here?
25,lights,0,0,none,none,now,Don't make it more dark here.
26,lights,0,0,diningroom,none,now,I would get mad if you would turn on the light in the dining room right now.
27,lights,1,1,bathroom,on,now,Is the light on in the bathroom?
28,lights,1,1,bathroom,on,now,Is the light on in the bathroom.
29,lights,1,1,bathroom,on,now,Has the light been on long in the bathroom?
30,lights,1,1,bathroom,off,now,Has the light been off long in the kitchen?
31,lights,1,1,bathroom,on,now,Is the light in the bathroom on?
32,lights,1,1,none,on,now,Did you turn on the light already?
33,lights,1,1,none,on,now,Can you please turn on the light?
34,lights,1,0,none,on,now,Help me to turn on the light.
35,lights,1,1,none,on,minute,Can you please turn on the light in a minute?
36,lights,1,0,none,on,minute,Help me to turn on the light in a minute.
37,lights,1,0,none,on,now,It is so dark here.
38,lights,1,0,none,on,now,I can't see anything.
39,lights,1,0,none,on,now,Lighten the room.
40,lights,1,1,none,on,minute,Can you please turn on the light in a few minutes?
41,lights,1,0,none,on,minute,Help me to turn on the light in a few minutes.
42,lights,1,0,none,on,minute,Lighten the room in a few minutes.
43,lights,1,0,none,on,minute,Lighten the room in 5 minutes.
44,lights,1,0,kitchen,off,minute,Turn the light off in the kitchen in 10 minutes.
45,lights,0,0,kitchen,none,minute,Don't turn the light off in the kitchen in 10 minutes.
46,lights,1,0,attic,on,now,Make it less dark in the attic now.
47,lights,1,0,attic,on,now,Turn on the light in the attic.
48,lights,1,0,attic,on,now,Illuminate the attic.
49,lights,1,0,none,off,hour,Turn off the lights in one hour.
50,lights,1,0,none,on,now,Turn on the light.
51,lights,1,0,all,on,now,Flicker the lights for me.
52,lights,1,0,none,on,now,Turn on the refrigerator.
53,lights,1,0,none,on,now,Turn on the oven.
54,lights,1,0,none,on,now,Turn on the music system.
55,lights,1,0,attic,off,now,Turn off the light in the attic.
56,lights,1,0,basement,off,now,Turn off the light in the basement.
57,lights,1,0,kitchen,off,now,Turn off the light in the kitchen.
58,lights,1,0,library,off,now,Turn off the light in the library.
59,lights,1,0,kitchen,off,now,Turn off the light in the kitchen.
60,lights,1,0,diningroom,off,now,Turn off the light in the dining room.
61,lights,1,0,cellar,off,now,Turn off the light in the cellar.
62,lights,1,0,attic,off,now,Turn off the lights in the attic.
63,lights,1,0,basement,off,now,Turn off the lights in the basement.
64,lights,1,0,kitchen,off,now,Turn off the lights in the kitchen.
65,lights,1,0,library,off,now,Turn off the lights in the library.
66,lights,1,0,kitchen,off,now,Turn off the lights in the kitchen.
67,lights,1,0,diningroom,off,now,Turn off the lights in the dining room.
68,lights,1,0,cellar,off,now,Turn off the lights in the cellar.
69,lights,1,0,random,off,minute,Turn off something in 45 minutes.
70,lights,1,0,random,on,now,Turn on something.
71,lights,1,0,random,on,day,Put on a random appliance in 7 days.
72,lights,1,0,none,none,now,lights.
73,lights,1,1,bathroom,on,tomorrow,Can you make it less dark in the bathroom tomorrow?
74,lights,1,1,toilet,on,tomorrow,Can you make it less dark in the toilet tomorrow?
75,lights,1,0,attic,on,hour,Turn on the light in the attic in one hour.
76,lights,1,1,cellar,off,now,Can you turn off the lights in the cellar?
77,lights,1,0,none,none,now,I would get mad if you turn on the lights right now.
78,lights,1,0,cellar,on,now,It is dark in the cellar.
79,lights,1,0,bathroom,on,now,It is dark in the bathroom.
80,lights,1,0,livingroom,on,now,It is dark in the living room.
81,lights,1,0,library,on,now,It is dark in the library.
82,lights,1,0,toilet,on,now,It is dark in the toilet.
83,lights,1,0,attic,on,now,It is dark in the attic.
84,lights,1,0,basement,on,now,It is dark in the basement.
85,lights,1,1,diningroom,on,minute,Can you make it less dark in the dining room in 5 minutes?
86,lights,1,1,cellar,on,minute,Can you make it less dark in the cellar in 85 minutes?
87,lights,1,1,attic,on,minute,Can you make it less dark in the attic in 5 minutes?
88,lights,1,1,kitchen,on,minute,Can you make it less dark in the kitchen in 45 minutes?
89,lights,1,1,toilet,on,minute,Can you make it less dark in the toilet in 15 minutes?
90,lights,1,1,library,on,minute,Can you make it less dark in the library in 50 minutes?
91,lights,1,1,basement,on,minute,Can you make it less dark in the basement in 5 minutes?
92,lights,1,1,diningroom,on,hour,Can you make it more bright in the dining room in 15 hours?
93,lights,1,1,cellar,on,hour,Can you make it more bright in the cellar in 50 hours?
94,lights,1,1,attic,on,hour,Can you make it more bright in the attic in an hour?
95,lights,1,1,kitchen,on,day,Can you make it more bright in the kitchen in 5 days?
96,lights,1,1,toilet,on,week,Can you make it more bright in the toilet in 5 weeks?
97,lights,1,1,library,on,minute,Can you make it more bright in the library in 2 minutes?
98,lights,1,1,basement,on,minute,Can you make it more bright in the basement in 5 minutes?
99,lights,1,1,diningroom,off,hour,Can you make it less bright in the dining room in 15 hours?
100,lights,1,1,cellar,off,hour,Can you make it less bright in the cellar in 50 hours?
101,lights,1,1,attic,off,hour,Can you make it less bright in the attic in an hour?
102,lights,1,1,kitchen,off,day,Can you make it less bright in the kitchen in 5 days?
103,lights,1,1,toilet,off,week,Can you make it less bright in the toilet in 5 weeks?
104,lights,1,1,library,off,minute,Can you make it less bright in the library in 2 minutes?
105,lights,1,1,basement,off,minute,Can you make it less bright in the basement in 5 minutes?
106,lights,0,0,none,none,now,Don't turn off the lights.
107,lights,1,0,none,on,none,Turn on the lights when I get home.
108,lights,1,0,none,on,none,Turn on the lights when it's dark outside.
109,lights,1,0,none,off,none,Turn off the lights when it is light outside.
110,camera,1,1,none,none,month,Was there any motion between september and october?
111,camera,1,1,bathroom,on,yesterday,Was the camera in the bathroom on yesterday?
112,camera,1,1,toilet,on,yesterday,Was the camera in the toilet on yesterday?
113,camera,1,1,all,none,now,Was there motion?
114,camera,1,1,none,on,now,Is the recording device on?
115,camera,1,1,none,none,now,Was there motion with the motion viewer?
116,camera,1,1,outside,none,now,Would you tell me if there was any motion on the camera outside?
117,camera,1,1,outside,none,now,Was there any motion on the camera outside?
118,camera,1,1,kitchen,none,yesterday,Was there movement on the camera in the kitchen yesterday?
119,camera,1,1,attic,none,yesterday,Was there movement on the camera in the attic yesterday?
120,camera,1,1,bathroom,none,yesterday,Was there movement on the camera in the bathroom yesterday?
121,camera,1,1,backyard,none,yesterday,Was there movement on the camera in the backyard yesterday?
122,camera,1,1,livingroom,none,yesterday,Was there movement on the camera in the living room yesterday?
123,camera,1,1,livingroom,on,now,I would like it that you'd tell me if the camera in the living room is on.
124,camera,1,1,all,none,now,Where there strangers tonight at my house?
125,camera,1,1,all,none,now,Did you see any movement tonight?
126,camera,1,1,outside,none,now,Was there something strange outside?
127,camera,1,1,all,none,now,Is there something I should know about the motion?
128,camera,1,1,all,none,now,What do you see on the camera?
129,camera,1,1,all,none,now,How many cameras are there?
130,camera,1,1,all,none,now,Where are all the cameras installed?
131,camera,1,1,all,none,now,Is there many motion on the cameras lately?
132,camera,1,1,all,none,now,What is the camera currently shooting?
133,camera,1,1,all,none,today,Did humans appear on the camera today?
134,camera,1,1,all,none,month,Would you tell me if there was motion between september and october?
135,camera,1,1,none,on,now,Is the camera on?
136,camera,1,0,none,on,now,Turn on the camera.
137,camera,1,0,none,none,now,A camera does recording and viewing.
138,camera,1,1,backyard,none,now,Could you give me some info on the camera in the backyard?
139,camera,1,1,none,none,today,Was there any movement on the cameras today?
140,camera,1,1,outside,none,today,Was there a person outside today?
141,camera,1,1,none,none,yesterday,Was there any movement on the cameras yesterday?
142,camera,1,1,outside,none,yesterday,Was there a person outside yesterday?
143,camera,1,0,none,none,now,camera.
144,camera,1,1,outside,none,hour,Was there any motion in the past hour on the camera outside?
145,camera,1,1,backyard,none,yesterday,Was there any motion in the backyard yesterday?
146,camera,1,1,backyard,none,today,Was there unusual activity on the camera in the backyard today?
147,openapp,0,0,none,none,now,Don't open up an app.
148,openapp,0,0,none,none,now,I would not like it if you would open an app right now.
149,openapp,1,1,none,open,now,Would you open the Home app for me please?
150,openapp,1,0,none,open,now,Open the relay app for me now.
151,openapp,1,0,none,open,now,Open camera app.
152,openapp,1,0,none,open,now,Open relay app.
153,openapp,1,1,none,open,day,Would you open the Home app in one day for me please?
154,openapp,1,0,none,open,day,Open the relay app for me in a few days.
155,openapp,1,0,none,open,yesterday,Open camera app yesterday.
156,openapp,1,0,none,open,tomorrow,Open relay app tomorrow.
157,openapp,1,0,none,open,now,I would like it if you'd open the camera app.
158,openapp,1,1,none,open,now,Is it possible to open up the camera app?
159,openapp,1,1,none,none,now,Can you show me the motion on the camera?
160,openapp,1,1,none,none,minute,Can you show me the motion on the camera in 5 minutes?
161,openapp,1,1,none,open,now,Is it possible to open up the relay app?
162,openapp,1,1,none,open,minute,Is it possible to open up the relay app in a certain amount of minutes?
163,openapp,1,1,none,open,now,Can you do me a favor and open up the locationtracker app?
164,openapp,1,0,none,open,now,Open up a random app for me.
165,openapp,1,0,none,open,hour,Open up a random app for me in two hours.
166,openapp,1,0,none,open,now,Open the Facebook app for me.
167,openapp,1,0,none,open,minute,Open any app you want in 8 minutes.
168,openapp,1,0,none,open,minute,The relay app has to be shown to me in 5 minutes.
169,openapp,0,0,none,none,now,Don't open up an app.
170,openapp,1,0,none,open,now,Open any app you want now.
171,openapp,1,0,none,open,minute,Open something in 5 minutes.
172,openapp,1,0,none,open,now,Open up the app which will show me relay information.
173,openapp,1,0,none,open,hour,Open up Google Maps in one hour.
174,openapp,1,0,none,open,now,Open up Google Maps.
175,openapp,1,0,none,none,now,Show me motion.
176,openapp,1,0,none,open,now,open.
177,openapp,1,1,none,open,minute,Can you open up the Maps app in 5 minutes for me please?
178,direction,1,1,home,none,now,Can you give me directions to my home?
179,direction,1,1,home,none,now,How far am I from home?
180,direction,1,1,home,none,now,Can I get home from here?
181,direction,1,1,place,none,now,Can you tell me the way to that place?
182,direction,1,0,home,none,now,Get me home.
183,direction,1,1,home,none,hour,How far am I from home in an hour?
184,direction,1,1,home,none,hour,Can I get home from here in 2 hours?
185,direction,1,1,place,none,hour,Can you tell me the way to that place in an hour?
186,direction,1,0,home,none,tomorrow,Get me home tomorrow.
187,direction,1,1,myplace,none,now,Where am I?
188,direction,1,1,home,none,now,How long before I will be home?
189,direction,1,1,place,none,now,Show me the bus between leuven and home?
190,direction,1,1,place,none,now,Where is the nearest bus stop in Antwerpen?
191,direction,1,1,place,none,now,Where is the nearest bus stop in Brussels?
192,direction,1,1,place,none,now,Where is the nearest bus stop in Leuven?
193,direction,1,1,place,none,now,Where is the nearest bus stop in Hasselt?
194,direction,1,1,myplace,none,now,Where is the nearest bus stop?
195,direction,1,1,home,none,now,How do I get home with the bus?
196,direction,1,1,home,none,hour,How do I get home with the bus in an hour?
197,direction,1,1,home,none,now,Where is my home?
198,direction,1,1,place,none,now,When do the trains departure in Leuven?
199,direction,1,1,myplace,none,now,When do the trains departure?
200,direction,1,1,myplace,none,hour,When do the trains departure in an hour?
201,direction,1,0,place,none,now,Show me the trains that departure now in Hasselt.
202,direction,1,0,place,none,minute,Show me the trains that departure in Hasselt in ten minutes.
203,direction,1,1,place,none,now,When do the busses departure in Leuven?
204,direction,1,1,myplace,none,now,When do the busses departure?
205,direction,1,1,myplace,none,hour,When do the busses departure in an hour?
206,direction,1,0,place,none,now,Show me the busses that departure now in Hasselt.
207,direction,1,0,place,none,minute,Show me the busses that departure in Hasselt in ten minutes.
208,direction,1,1,myplace,none,now,Are there any delays with busses at my location?
209,direction,1,1,home,none,now,Do I have to travel far when I want to go home?
210,direction,1,1,home,none,minute,Do I have to travel far when I want to go home in a few minutes?
211,direction,1,1,myplace,none,now,Should I use the public transport now?
212,direction,1,1,home,none,minute,When will I be home when I leave now with my car in 5 minutes?
213,direction,1,1,home,none,now,Can you show me how I will be getting home with my car?
214,direction,1,1,place,none,now,How far is it to Antwerpen?
215,direction,1,0,myplace,none,now,Find the closest train station.
216,direction,1,0,myplace,none,now,Find the nearest bus stop.
217,direction,1,0,myplace,none,minute,Find the nearest bus stop in 3 minutes.
218,direction,1,1,home,none,now,Where do I live?
219,direction,1,1,myplace,none,now,Where is the nearest train station?
220,direction,1,1,myplace,none,now,Where is the closest train station?
221,direction,1,1,place,none,now,Where is the nearest train station in Antwerpen?
222,direction,1,1,place,none,now,Where is the nearest train station in Brussels?
223,direction,1,1,place,none,now,Where is the nearest train station in Leuven?
224,direction,1,1,place,none,now,Where is the nearest train station in Hasselt?
225,direction,1,1,myplace,none,now,Where is the nearest train station?
226,direction,1,1,home,none,now,How do I get home with the train?
227,direction,1,1,myplace,none,now,When do the busses depart?
228,direction,1,1,place,none,now,When do the busses depart in Antwerpen?
229,direction,1,1,place,none,now,When do the busses depart in Brussels?
230,direction,1,1,place,none,now,When do the busses depart in Leuven?
231,direction,1,1,place,none,now,When do the busses depart in Hasselt?
232,direction,1,1,myplace,none,now,Where is the nearest bus station?
233,direction,1,1,myplace,none,now,Where is the closest bus stop?
234,direction,1,0,myplace,none,now,Give me some directions.
235,direction,1,0,myplace,none,now,direction.
236,direction,1,1,home,none,hour,How do I get home in one hour?
237,direction,1,1,place,none,now,How do I get home from Leuven?
238,direction,1,1,myplace,none,now,When do the trains departure?
239,direction,1,1,myplace,none,now,What is the closest train station from here?
240,direction,1,1,place,none,now,How do I get to Leuven?
241,direction,1,1,home,none,minute,How do I get home from Leuven in a minute?
242,direction,1,1,myplace,none,now,When does the first train leave to Balen from Leuven?
243,direction,1,1,place,none,now,How do I get from Leuven to Hasselt?
244,information,1,1,none,none,now,What is the temperature in the room right now?
245,information,1,1,none,none,now,What is the temperature in the room?
246,information,1,1,none,none,now,What is temperature in the room?
247,information,1,1,none,none,now,Is it hot in the room?
248,information,1,1,none,none,minute,What is the temperature in the room in 3 minutes?
249,information,1,1,none,none,minute,What is the humidity in the room in 3 minutes?
250,information,1,1,none,none,minute,What is temperature in the room in 3 minutes?
251,information,1,1,bathroom,none,now,What are the sensor readings from the bathroom?
252,information,1,1,kitchen,none,now,Give me info from the kitchen.
253,information,1,1,bathroom,none,now,Give me info from the bathroom.
254,information,1,1,diningroom,none,tomorrow,Give me some readings of the dining room tomorrow.
255,information,1,1,kitchen,none,tomorrow,Tomorrow give me info from the kitchen.
256,information,1,1,bathroom,none,tomorrow,Tomorrow give me info from the bathroom.
257,information,1,1,attic,none,tomorrow,Tomorrow give me info from the attic.
258,information,1,1,bathroom,none,minute,I want info from the bathroom in 5 minutes.
259,information,1,1,bathroom,none,minute,I want info from the bathroom in 8 minutes.
260,information,1,1,bathroom,none,day,I want info from the bathroom in 2 days.
261,information,1,1,attic,none,tomorrow,I want info from the attic tomorrow.
262,information,1,1,kitchen,none,now,Enlighten me about the kitchen.
263,information,1,1,bathroom,none,now,Is there motion in the bathroom right now?
264,information,1,1,livingroom,none,now,Was there any activity in the living room?
265,information,1,1,kitchen,none,now,Is the light on in the kitchen?
266,information,1,1,none,none,week,What is the humidity in averaged over a week?
267,information,1,1,basement,none,now,What does the temperature reading in the basement say?
268,information,1,1,diningroom,none,now,What does the temperature reading in the dining room say?
269,information,1,1,attic,none,now,Are there any sensors in the attic?
270,information,0,0,none,none,now,Don't give me any information.
271,information,1,0,all,none,minute,Give me information about all rooms in 10 minutes.
272,information,1,1,all,none,now,Which sensors are currently in operation?
273,information,1,1,all,none,now,Were there any sensor malfunctions lately?
274,information,1,0,all,none,tomorrow,Show me the sensors tomorrow.
275,information,0,0,all,none,tomorrow,Don't show me the sensors tomorrow.
276,information,1,0,all,none,yesterday,Give me some information for yesterday.
277,information,1,0,all,none,now,Give me some information about some sensors.
278,information,1,0,all,none,now,Show me some sensor readings.
279,information,1,0,all,none,minute,Show me some sensor readings in a few minutes.
280,information,1,1,toilet,none,now,What are the sensor readings from the toilet?
281,information,1,0,toilet,none,now,Give me info from the toilet.
282,information,1,0,toilet,none,tomorrow,Tomorrow give me info from the toilet.
283,information,1,0,toilet,none,minute,I want info from the toilet in 5 minutes.
284,information,1,0,toilet,none,minute,I want info from the toilet in 8 minutes.
285,information,1,0,toilet,none,day,I want info from the toilet in 2 days.
286,information,1,1,toilet,none,now,Is there motion in the toilet right now?
287,information,1,1,toilet,none,now,Can you give me some information about the toilet?
288,information,1,0,all,none,now,information.
289,information,1,1,library,none,now,What is the temperature in the library?
290,information,1,1,library,none,now,What is the humidity in the library?
291,information,1,0,library,none,hour,Update me in an hour what temperature it is in the library.
292,information,0,0,library,none,now,Don't let me know what humidity it is in the library.
293,information,1,1,library,none,now,What is the temperature in the library?
294,information,1,1,bathroom,none,now,What is the temperature in the bathroom?
295,information,1,1,bathroom,none,now,What is the humidity in the bathroom?
296,information,1,0,bathroom,none,hour,Update me in an hour what temperature it is in the bathroom.
297,information,0,0,bathroom,none,now,Don't let me know what humidity it is in the bathroom.
298,information,1,1,bathroom,none,now,What is the temperature in the bathroom?
299,information,1,1,diningroom,none,now,What is the temperature in the dining room?
300,information,1,1,diningroom,none,now,What is the humidity in the dining room?
301,information,1,0,diningroom,none,hour,Update me in an hour what temperature it is in the dining room.
302,information,0,0,diningroom,none,now,Don't let me know what humidity it is in the dining room.
303,information,1,1,diningroom,none,now,What is the temperature in the dining room?
304,information,1,1,kitchen,none,now,What is the temperature in the kitchen?
305,information,1,1,kitchen,none,now,What is the humidity in the kitchen?
306,information,1,0,kitchen,none,hour,Update me in an hour what temperature it is in the kitchen.
307,information,0,0,kitchen,none,now,Don't let me know what humidity it is in the kitchen.
308,information,1,1,kitchen,none,now,What is the temperature in the kitchen?
309,information,1,1,toilet,none,now,What is the temperature in the toilet?
310,information,1,1,toilet,none,now,What is the humidity in the toilet?
311,information,1,0,toilet,none,hour,Update me in an hour what temperature it is in the toilet.
312,information,0,0,toilet,none,now,Don't let me know what humidity it is in the toilet.
313,information,1,1,toilet,none,now,What is the temperature in the toilet?
314,information,1,1,attic,none,now,What is the temperature in the attic?
315,information,1,1,attic,none,now,What is the humidity in the attic?
316,information,1,0,attic,none,hour,Update me in an hour what temperature it is in the attic.
317,information,0,0,attic,none,now,Don't let me know what humidity it is in the attic.
318,information,1,1,attic,none,now,What is the temperature in the attic?
319,information,1,1,cellar,none,now,What is the temperature in the cellar?
320,information,1,1,cellar,none,now,What is the humidity in the cellar?
321,information,1,0,cellar,none,hour,Update me in an hour what temperature it is in the cellar.
322,information,0,0,cellar,none,now,Don't let me know what humidity it is in the cellar.
